surface,city,rooms,bathrooms,parking,pool,vue_panoramique,jardin,climatisation,chauffage_central,ascenseur,price
141.0,20,3.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,490000.0
100.0,20,2.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,380000.0
130.0,71,3.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,180000.0
120.0,8,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,240000.0
148.0,30,3.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,365000.0
180.0,32,3.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,410000.0
70.0,32,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,185000.0
70.0,8,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,350000.0
103.0,8,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,250000.0
152.0,49,3.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,375000.0
77.0,50,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,215000.0
90.0,16,3.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,255000.0
117.0,21,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,125000.0
75.0,21,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200000.0
208.0,4,4.0,3.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,650000.0
122.0,62,3.0,2.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,270000.0
54.0,72,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,120000.0
167.0,32,3.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,325000.0
199.0,5,3.0,2.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,700000.0
63.25,49,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,241566.0
104.0,32,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,316000.0
125.0,20,2.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,275000.0
95.0,88,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,143000.0
61.0,11,2.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,256457.0
74.0,11,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,304607.0
86.0,42,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,220000.0
160.0,30,4.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,345000.0
100.0,20,2.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,380000.0
160.0,12,3.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,450000.0
98.0,32,2.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,148000.0
100.0,21,3.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,330000.0
100.0,44,2.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,310000.0
140.0,16,3.0,2.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,350000.0
144.0,13,3.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,550000.0
147.8,20,3.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,700000.0
61.0,42,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,195000.0
105.0,58,3.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,154999.0
97.0,80,4.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,180000.0
89.5,20,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,330000.0
70.0,59,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,135000.0
94.0,42,2.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,275000.0
140.0,42,3.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,320000.0
45.0,42,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,169000.0
105.0,5,2.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,480000.0
118.0,17,2.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,345000.0
150.0,42,3.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,365000.0
48.0,42,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,169000.0
60.0,17,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,175000.0
154.0,79,4.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,285000.0
110.0,17,2.0,2.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,280000.0
340.0,8,3.0,2.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,580000.0
40.0,42,2.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,170000.0
152.0,5,5.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,550000.0
105.0,17,2.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,320000.0
60.0,42,2.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,180000.0
81.0,42,2.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,229000.0
58.0,42,2.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,195000.0
42.0,42,2.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,165000.0
420.0,64,7.0,3.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,750000.0
90.0,62,2.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,215000.0
112.0,42,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,240000.0
156.0,42,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,340000.0
161.0,62,3.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,320000.0
143.0,42,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,295000.0
129.0,42,4.0,2.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,320000.0
60.0,42,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,188000.0
143.0,42,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,365000.0
70.0,42,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,180000.0
68.0,1,2.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,370000.0
68.0,42,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,189000.0
100.0,79,4.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,250000.0
65.0,42,3.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,195000.0
135.0,42,3.0,2.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,350000.0
78.0,83,2.0,2.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,268000.0
175.0,42,3.0,2.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,415000.0
113.0,42,2.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,255000.0
195.0,42,4.0,2.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,450000.0
45.0,42,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,170000.0
84.0,42,2.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,265000.0
132.0,42,3.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,270000.0
62.0,42,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,190000.0
77.0,42,2.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,215000.0
158.0,42,3.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,306000.0
124.0,42,3.0,3.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,420000.0
51.0,33,2.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,95000.0
130.0,34,3.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,220000.0
110.0,23,2.0,2.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,410000.0
127.0,16,2.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,405000.0
122.0,62,3.0,2.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,260000.0
145.0,42,3.0,2.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,620000.0
95.0,42,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,265000.0
143.0,42,3.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,295000.0
109.0,42,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,230000.0
129.0,42,4.0,2.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,310000.0
60.0,42,2.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,180000.0
130.0,10,4.0,2.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,370000.0
50.0,42,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,180000.0
