surface,city,rooms,bathrooms,parking,pool,vue_panoramique,jardin,climatisation,chauffage_central,ascenseur,price
113.0,28,2.0,2.0,,,,,,,,170000.0
138.0,52,3.0,2.0,,,,,,,,340000.0
80.0,31,2.0,1.0,,,,,,,,230000.0
200.0,31,4.0,2.0,,,,,,,,440000.0
89.0,83,2.0,1.0,,,,,,,,136000.0
94.0,16,2.0,1.0,,,,,,,,185000.0
79.0,32,1.0,1.0,,,,,,,,146150.0
157.0,31,3.0,1.0,,,,,,,,340000.0
105.0,16,2.0,1.0,,,,,,,,225000.0
130.0,31,3.0,1.0,,,,,,,,320000.0
120.0,31,2.0,1.0,,,,,,,,270000.0
100.0,83,3.0,2.0,,,,,,,,170000.0
74.0,31,2.0,1.0,,,,,,,,180000.0
90.0,72,2.0,1.0,,,,,,,,205000.0
151.0,52,3.0,2.0,,,,,,,,225000.0
145.0,31,4.0,2.0,,,,,,,,410000.0
126.0,31,4.0,1.0,,,,,,,,250000.0
105.0,52,2.0,1.0,,,,,,,,230000.0
163.0,83,3.0,1.0,,,,,,,,340000.0
76.0,78,3.0,1.0,,,,,,,,115000.0
130.0,52,2.0,2.0,,,,,,,,280000.0
370.0,16,4.0,3.0,,,,,,,,1100000.0
143.0,16,3.0,2.0,,,,,,,,360000.0
200.0,31,4.0,2.0,,,,,,,,360000.0
150.0,31,3.0,1.0,,,,,,,,350000.0
130.0,31,2.0,1.0,,,,,,,,300000.0
56.0,52,1.0,1.0,,,,,,,,158000.0
136.0,31,2.0,2.0,,,,,,,,300000.0
140.0,52,3.0,2.0,,,,,,,,275000.0
110.0,45,3.0,1.0,,,,,,,,150000.0
100.0,52,2.0,1.0,,,,,,,,230000.0
120.0,31,2.0,1.0,,,,,,,,240000.0
165.0,52,3.0,1.0,,,,,,,,105000.0
126.0,31,2.0,1.0,,,,,,,,330000.0
278.0,16,3.0,3.0,,,,,,,,750000.0
186.0,16,2.0,2.0,,,,,,,,470000.0
188.0,16,3.0,3.0,,,,,,,,650000.0
87.0,31,1.0,1.0,,,,,,,,243000.0
165.0,16,3.0,3.0,,,,,,,,650000.0
130.0,52,4.0,2.0,,,,,,,,285000.0
60.0,31,1.0,1.0,,,,,,,,180000.0
75.0,31,1.0,1.0,,,,,,,,190000.0
138.0,28,3.0,2.0,,,,,,,,295000.0
72.0,78,1.0,1.0,,,,,,,,160000.0
62.0,78,2.0,1.0,,,,,,,,109000.0
85.0,83,3.0,1.0,,,,,,,,150000.0
52.0,72,2.0,1.0,,,,,,,,85000.0
120.0,72,3.0,2.0,,,,,,,,245000.0
153.0,72,3.0,2.0,,,,,,,,339000.0
115.0,32,2.0,1.0,,,,,,,,168000.0
100.0,45,3.0,1.0,,,,,,,,125000.0
70.0,72,2.0,1.0,,,,,,,,230000.0
125.0,32,3.0,2.0,,,,,,,,210000.0
157.0,31,4.0,2.0,,,,,,,,441000.0
187.0,16,3.0,2.0,,,,,,,,570000.0
57.0,52,1.0,1.0,,,,,,,,145000.0
126.0,52,2.0,2.0,,,,,,,,330000.0
163.0,31,3.0,2.0,,,,,,,,340000.0
105.0,31,2.0,1.0,,,,,,,,220000.0
153.0,72,4.0,1.0,,,,,,,,360000.0
120.0,52,2.0,1.0,,,,,,,,230000.0
100.0,83,2.0,1.0,,,,,,,,90000.0
140.0,16,3.0,2.0,,,,,,,,290000.0
170.0,31,4.0,2.0,,,,,,,,295000.0
76.0,72,3.0,1.0,,,,,,,,120000.0
160.0,31,3.0,1.0,,,,,,,,310000.0
130.0,83,4.0,1.0,,,,,,,,95000.0
100.0,16,2.0,2.0,,,,,,,,310000.0
72.0,78,2.0,1.0,,,,,,,,160000.0
110.0,83,3.0,1.0,,,,,,,,220000.0
170.0,31,3.0,1.0,,,,,,,,350000.0
120.0,16,2.0,1.0,,,,,,,,280000.0
155.0,16,3.0,2.0,,,,,,,,300000.0
140.0,16,2.0,2.0,,,,,,,,240000.0
100.0,83,4.0,1.0,,,,,,,,170000.0
174.0,16,4.0,3.0,,,,,,,,500000.0
107.0,16,2.0,1.0,,,,,,,,220000.0
122.0,16,2.0,2.0,,,,,,,,268000.0
