Price,Surface,Rooms,Region,Ascenseur,Chauffage_Central,Climatisation,Categorie
317200,88,1,ariana,0,0,0,Haut
1500000,335,4,les berges du lac,1,1,1,
280000,120,2,el menzah,0,0,0,Ancien
427480,106,2,el menzah,1,1,1,Haut
680000,225,3,jardins de carthage,1,1,0,
317200,88,1,ariana,0,0,0,Haut
1500000,335,4,les berges du lac,1,1,1,
280000,120,2,el menzah,0,0,0,Ancien
427480,106,2,el menzah,1,1,1,Haut
680000,225,3,jardins de carthage,1,1,0,
317200,88,1,ariana,0,0,0,Haut
1500000,335,4,les berges du lac,1,1,1,
280000,120,2,el menzah,0,0,0,Ancien
427480,106,2,el menzah,1,1,1,Haut
680000,225,3,jardins de carthage,1,1,0,
317200,88,1,ariana,0,0,0,Haut
1500000,335,4,les berges du lac,1,1,1,
280000,120,2,el menzah,0,0,0,Ancien
427480,106,2,el menzah,1,1,1,Haut
680000,225,3,jardins de carthage,1,1,0,
317200,88,1,ariana,0,0,0,Haut
1500000,335,4,les berges du lac,1,1,1,
280000,120,2,el menzah,0,0,0,Ancien
427480,106,2,el menzah,1,1,1,Haut
680000,225,3,jardins de carthage,1,1,0,
317200,88,1,ariana,0,0,0,Haut
1500000,335,4,les berges du lac,1,1,1,
280000,120,2,el menzah,0,0,0,Ancien
427480,106,2,el menzah,1,1,1,Haut
680000,225,3,jardins de carthage,1,1,0,
317200,88,1,ariana,0,0,0,Haut
1500000,335,4,les berges du lac,1,1,1,
280000,120,2,el menzah,0,0,0,Ancien
427480,106,2,el menzah,1,1,1,Haut
680000,225,3,jardins de carthage,1,1,0,
317200,88,1,ariana,0,0,0,Haut
1500000,335,4,les berges du lac,1,1,1,
280000,120,2,el menzah,0,0,0,Ancien
427480,106,2,el menzah,1,1,1,Haut
680000,225,3,jardins de carthage,1,1,0,
317200,88,1,ariana,0,0,0,Haut
1500000,335,4,les berges du lac,1,1,1,
280000,120,2,el menzah,0,0,0,Ancien
427480,106,2,el menzah,1,1,1,Haut
680000,225,3,jardins de carthage,1,1,0,
317200,88,1,ariana,0,0,0,Haut
1500000,335,4,les berges du lac,1,1,1,
280000,120,2,el menzah,0,0,0,Ancien
427480,106,2,el menzah,1,1,1,Haut
680000,225,3,jardins de carthage,1,1,0,
317200,88,1,ariana,0,0,0,Haut
1500000,335,4,les berges du lac,1,1,1,
280000,120,2,el menzah,0,0,0,Ancien
427480,106,2,el menzah,1,1,1,Haut
680000,225,3,jardins de carthage,1,1,0,
317200,88,1,ariana,0,0,0,Haut
1500000,335,4,les berges du lac,1,1,1,
280000,120,2,el menzah,0,0,0,Ancien
427480,106,2,el menzah,1,1,1,Haut
