surface,city,rooms,bathrooms,parking,pool,vue_panoramique,jardin,climatisation,chauffage_central,ascenseur,price
550.0,14,5.0,2.0,1.0,0.0,0,0.0,1.0,1.0,0.0,1400000.0
446.0,12,4.0,2.0,0.0,0.0,0,0.0,1.0,1.0,0.0,550000.0
200.0,25,4.0,2.0,1.0,0.0,0,0.0,1.0,0.0,0.0,330000.0
446.0,12,4.0,2.0,1.0,0.0,0,0.0,1.0,1.0,0.0,550000.0
206.0,12,5.0,3.0,0.0,0.0,0,0.0,1.0,0.0,0.0,330000.0
578.0,14,5.0,3.0,0.0,0.0,0,0.0,0.0,0.0,0.0,2000000.0
500.0,55,4.0,2.0,1.0,1.0,0,0.0,1.0,1.0,0.0,495000.0
458.0,16,4.0,2.0,1.0,0.0,0,0.0,0.0,0.0,0.0,580000.0
540.0,14,4.0,4.0,1.0,0.0,0,0.0,1.0,1.0,0.0,1180000.0
500.0,16,5.0,3.0,1.0,0.0,0,0.0,1.0,1.0,0.0,735000.0
444.0,7,5.0,3.0,1.0,0.0,1,0.0,0.0,0.0,0.0,1800000.0
400.0,36,4.0,2.0,1.0,0.0,0,0.0,1.0,1.0,0.0,500000.0
363.0,28,5.0,2.0,1.0,0.0,0,0.0,0.0,1.0,0.0,830000.0
350.0,26,5.0,3.0,1.0,0.0,0,0.0,0.0,0.0,0.0,700000.0
150.0,16,5.0,2.0,1.0,0.0,1,0.0,1.0,1.0,0.0,308000.0
142.0,16,2.0,1.0,0.0,0.0,0,0.0,1.0,1.0,1.0,390000.0
596.0,33,4.0,2.0,0.0,0.0,0,0.0,1.0,1.0,0.0,1850000.0
527.0,28,5.0,2.0,1.0,0.0,0,0.0,1.0,1.0,0.0,1200000.0
506.0,41,5.0,2.0,0.0,0.0,0,0.0,0.0,0.0,0.0,890000.0
481.0,61,5.0,3.0,1.0,0.0,0,0.0,1.0,1.0,0.0,720000.0
460.0,21,5.0,2.0,1.0,0.0,0,0.0,0.0,1.0,0.0,750000.0
450.0,14,5.0,3.0,1.0,0.0,0,0.0,1.0,1.0,0.0,870000.0
407.0,64,3.0,2.0,0.0,0.0,0,0.0,0.0,0.0,0.0,250000.0
402.0,43,4.0,1.0,0.0,0.0,0,0.0,1.0,0.0,0.0,2500000.0
388.0,12,4.0,1.0,1.0,0.0,0,0.0,1.0,1.0,0.0,505000.0
350.0,25,4.0,1.0,0.0,0.0,0,0.0,0.0,0.0,0.0,500000.0
280.0,26,3.0,3.0,0.0,1.0,0,0.0,0.0,0.0,0.0,1100000.0
280.0,46,4.0,2.0,0.0,0.0,0,0.0,0.0,0.0,0.0,395000.0
237.0,41,5.0,2.0,0.0,0.0,0,0.0,1.0,1.0,0.0,600000.0
214.0,46,5.0,2.0,1.0,0.0,1,0.0,1.0,0.0,0.0,490000.0
207.0,28,4.0,3.0,1.0,0.0,0,0.0,1.0,1.0,1.0,398000.0
185.0,12,5.0,2.0,1.0,0.0,0,0.0,0.0,0.0,0.0,1100000.0
180.0,35,5.0,2.0,1.0,0.0,1,0.0,0.0,0.0,0.0,265000.0
178.0,12,5.0,2.0,1.0,0.0,0,0.0,0.0,0.0,0.0,1200000.0
170.0,28,5.0,2.0,0.0,0.0,0,0.0,1.0,1.0,1.0,320000.0
167.0,12,5.0,3.0,0.0,0.0,0,0.0,0.0,0.0,1.0,540000.0
156.0,55,3.0,1.0,1.0,0.0,0,0.0,0.0,0.0,0.0,255000.0
153.0,35,5.0,2.0,0.0,0.0,0,0.0,0.0,0.0,0.0,260000.0
150.0,63,5.0,2.0,1.0,0.0,0,0.0,0.0,0.0,0.0,220000.0
145.0,13,3.0,1.0,0.0,0.0,0,0.0,1.0,1.0,0.0,360000.0
120.0,16,3.0,1.0,0.0,0.0,0,0.0,1.0,1.0,0.0,200000.0
110.0,12,3.0,2.0,1.0,0.0,0,0.0,0.0,0.0,0.0,280000.0
100.0,7,2.0,1.0,0.0,0.0,0,0.0,1.0,1.0,1.0,380000.0
100.0,46,3.0,1.0,1.0,0.0,0,0.0,0.0,0.0,0.0,280000.0
600.0,12,5.0,3.0,1.0,1.0,0,0.0,1.0,1.0,0.0,2700000.0
