surface,city,rooms,bathrooms,parking,pool,vue_panoramique,jardin,climatisation,chauffage_central,ascenseur,price
147,14,3,2,0,0,1,0,1,1,1,480000
138,28,3,1,1,0,0,0,0,0,0,410000
125,28,3,2,1,0,0,0,1,1,1,389000
69,28,1,1,1,0,0,0,0,0,0,173875
194,28,3,2,1,0,0,0,1,1,1,598000
162,14,3,1,1,0,0,1,0,1,0,296000
194,28,3,3,1,0,0,0,1,1,0,598000
261,14,3,3,0,0,0,0,0,1,1,570000
135,14,3,1,0,0,0,0,1,1,0,310000
137,28,3,2,1,0,1,0,1,1,1,370000
150,14,3,1,1,0,0,1,0,0,0,455000
212,28,3,3,1,0,0,0,1,1,1,630000
288,28,4,5,1,0,0,0,0,1,1,879000
195,28,4,3,1,0,0,0,1,1,1,448000
740,14,6,5,1,1,0,1,0,0,0,1900000
410,28,7,3,1,0,0,1,1,1,0,980000
150,28,3,2,1,0,0,0,1,1,0,450000
210,28,4,3,1,0,0,0,1,1,1,719000
112,28,2,1,1,0,0,0,1,1,1,298000
170,28,3,2,1,0,1,1,1,1,1,540000
280,28,5,3,0,0,0,1,1,1,0,750000
155,28,4,1,0,0,0,0,0,0,1,530000
230,28,4,1,0,0,0,0,0,0,1,620000
157,14,3,1,0,0,0,0,1,1,1,365000
129,28,4,1,1,0,0,0,1,1,0,495000
64,28,1,1,1,0,0,0,0,0,0,161650
136,28,3,2,1,0,0,0,1,1,1,530000
182,28,3,2,1,0,0,1,1,1,0,470000
129,12,1,1,1,0,0,0,0,0,1,410000
154,12,2,3,1,0,0,1,1,1,1,1110000
130,1,2,2,1,0,0,0,0,0,0,650000
120,12,3,2,1,0,0,0,1,1,1,2800000
65,12,1,1,1,0,0,0,1,1,0,345000
131,12,3,2,0,0,0,0,1,1,0,490000
104,12,2,2,1,0,0,0,0,1,1,345000
70,12,1,1,1,0,0,0,1,1,0,395000
195,1,3,2,1,0,0,0,0,0,0,860000
106,12,2,1,0,0,0,0,1,1,1,345000
165,12,3,3,0,0,0,0,1,1,1,530000
132,12,3,2,1,0,0,0,1,1,1,436000
195,12,3,3,1,0,0,0,1,1,1,660000
77,12,2,1,1,0,0,0,0,0,0,312000
155,12,4,1,0,0,0,0,0,0,0,295000
194,1,3,2,0,0,0,0,1,1,0,860000
232,1,3,2,0,0,0,0,1,1,1,1000000
222,12,4,3,1,0,0,0,0,1,0,1350000
119,12,3,2,1,0,0,0,1,1,1,395000
107,12,2,2,1,0,0,0,0,1,1,396000
80,12,1,1,0,0,0,0,0,1,0,180000
102,12,2,2,1,0,0,0,0,1,1,349000
289,12,3,3,1,0,0,0,1,1,1,855000
279,12,3,2,0,1,0,1,1,1,1,1167000
115,12,2,1,1,0,0,0,0,0,0,465000
85,12,2,2,0,0,0,0,0,0,0,313000
212,1,3,2,1,0,0,0,1,1,0,1000000
102,12,2,2,1,0,0,0,0,1,1,338000
80,4,2,1,1,0,0,0,1,1,0,395000
103,12,2,2,1,0,0,0,1,1,1,359000
167,12,3,3,1,0,0,0,1,1,1,635000
117,12,3,2,1,0,0,0,1,1,1,458000
66,12,1,1,1,0,0,0,1,1,1,238000
102,12,2,1,1,0,0,0,1,1,1,375000
108,12,2,2,1,0,0,0,0,1,1,360000
122,12,3,2,0,0,0,0,1,1,0,510000
207,12,4,3,1,0,0,0,1,1,1,450000
200,12,3,2,1,0,0,1,1,1,1,370000
125,12,3,2,1,0,0,0,0,1,1,429000
104,12,2,2,1,0,0,0,0,1,1,344000
162,12,3,3,1,0,1,1,1,1,1,500000
174,12,3,3,1,0,1,0,1,1,1,675000
280,12,4,4,1,1,0,1,1,1,1,2195000
110,12,2,2,1,0,0,0,0,1,1,383000
85,12,1,1,0,0,0,0,1,1,0,290000
135,12,2,2,1,0,0,0,1,1,1,762000
129,12,3,2,1,0,0,0,0,1,1,464000
164,12,2,2,1,0,0,0,1,1,1,472000
137,12,2,2,1,0,0,0,1,1,1,434000
88,12,2,1,0,0,0,0,1,1,1,340000
267,12,3,1,0,0,0,1,1,1,0,740000
153,12,3,1,0,0,0,0,1,1,0,550000
81,12,2,1,1,0,0,0,0,1,1,270000
300,12,2,2,1,0,0,1,1,1,1,560000
