,surface,region,rooms,bathrooms,parking,pool,vue_panoramique,jardin,climatisation,chauffage_central,ascenseur,price
0,141.0,20,3,2,Yes,No,No,Yes,No,No,No,490000.0
1,100.0,20,2,1,Yes,No,No,No,Yes,Yes,No,380000.0
2,130.0,71,3,1,Yes,No,No,No,Yes,Yes,No,180000.0
3,120.0,8,2,1,No,No,No,No,No,No,No,240000.0
4,148.0,30,3,2,Yes,No,No,No,No,No,Yes,365000.0
5,180.0,32,3,2,Yes,No,No,No,No,No,No,410000.0
6,70.0,32,2,1,No,No,No,No,No,No,No,185000.0
7,70.0,8,2,1,No,No,No,No,No,No,No,350000.0
8,103.0,8,1,1,No,No,No,No,Yes,Yes,No,250000.0
9,152.0,49,3,2,Yes,No,No,No,No,Yes,Yes,375000.0
10,77.0,50,1,1,Yes,No,No,No,Yes,Yes,No,215000.0
11,90.0,16,3,1,No,No,No,No,Yes,Yes,Yes,255000.0
12,117.0,21,2,1,No,No,No,No,No,No,No,125000.0
13,75.0,21,2,1,No,No,No,No,No,No,No,200000.0
15,208.0,4,4,3,No,No,No,No,Yes,Yes,No,650000.0
16,122.0,62,3,2,Yes,No,No,No,Yes,Yes,Yes,270000.0
17,54.0,72,2,1,Yes,No,No,No,No,No,Yes,120000.0
18,167.0,32,3,1,Yes,No,No,No,Yes,Yes,No,325000.0
19,199.0,5,3,2,Yes,No,No,No,Yes,Yes,No,700000.0
20,63.25,49,1,1,Yes,No,No,Yes,No,Yes,No,241566.0
21,104.0,32,1,1,Yes,No,No,Yes,Yes,Yes,No,316000.0
22,125.0,20,2,1,Yes,No,No,No,Yes,Yes,No,275000.0
23,95.0,88,4,1,No,No,No,No,No,No,No,143000.0
24,61.0,11,2,1,Yes,No,No,No,Yes,Yes,No,256457.0
25,74.0,11,1,1,Yes,No,No,No,No,Yes,No,304607.0
26,86.0,42,2,1,No,No,No,No,No,No,No,220000.0
27,160.0,30,4,2,No,No,No,No,No,Yes,No,345000.0
28,100.0,20,2,1,Yes,No,No,No,Yes,Yes,No,380000.0
29,160.0,12,3,2,No,No,No,No,No,Yes,No,450000.0
30,98.0,32,2,1,No,No,No,No,No,Yes,No,148000.0
31,100.0,21,3,2,Yes,No,No,No,No,No,No,330000.0
32,100.0,44,2,2,No,No,No,No,No,Yes,Yes,310000.0
33,140.0,16,3,2,Yes,No,No,No,Yes,Yes,No,350000.0
34,144.0,13,3,2,No,No,No,No,Yes,No,Yes,550000.0
35,147.8,20,3,2,No,No,No,Yes,No,No,No,700000.0
36,61.0,42,1,1,No,No,No,No,Yes,Yes,No,195000.0
37,105.0,58,3,1,Yes,No,No,Yes,No,No,No,154999.0
38,97.0,80,4,1,No,No,No,No,No,Yes,No,180000.0
39,89.5,20,1,1,Yes,No,No,Yes,Yes,Yes,No,330000.0
41,70.0,59,2,1,No,No,No,No,No,No,Yes,135000.0
42,94.0,42,2,1,No,No,No,No,No,Yes,Yes,275000.0
43,140.0,42,3,1,No,No,No,No,Yes,Yes,Yes,320000.0
44,45.0,42,1,1,No,No,No,No,No,Yes,Yes,169000.0
45,105.0,5,2,2,No,No,No,No,Yes,Yes,Yes,480000.0
46,118.0,17,2,1,No,No,No,No,No,Yes,Yes,345000.0
47,150.0,42,3,2,Yes,No,No,No,No,No,Yes,365000.0
48,48.0,42,1,1,No,No,No,No,No,Yes,Yes,169000.0
49,60.0,17,1,1,No,No,No,No,Yes,Yes,Yes,175000.0
50,154.0,79,4,2,No,No,No,No,No,Yes,Yes,285000.0
51,110.0,17,2,2,Yes,No,No,No,Yes,Yes,Yes,280000.0
52,340.0,8,3,2,No,No,Yes,No,Yes,Yes,No,580000.0
53,40.0,42,2,1,No,No,No,No,No,Yes,Yes,170000.0
54,152.0,5,5,1,No,No,No,No,Yes,Yes,Yes,550000.0
55,105.0,17,2,1,Yes,No,No,No,Yes,Yes,Yes,320000.0
56,60.0,42,2,1,No,No,No,No,No,Yes,Yes,180000.0
57,81.0,42,2,1,No,No,No,No,No,Yes,Yes,229000.0
58,58.0,42,2,1,No,No,No,No,No,Yes,No,195000.0
