surface,city,rooms,bathrooms,parking,pool,vue_panoramique,jardin,climatisation,chauffage_central,ascenseur,price
70.0,82,2.0,1,,,,,,,,120000.0
130.0,12,3.0,2,,,,,,,,277000.0
111.0,28,2.0,2,,,,,,,,195000.0
150.0,77,3.0,3,,,,,,,,268000.0
134.0,12,3.0,2,,,,,,,,340000.0
100.0,35,3.0,2,,,,,,,,125000.0
167.0,12,3.0,3,,,,,,,,467000.0
95.0,61,2.0,1,,,,,,,,170000.0
138.0,17,3.0,2,,,,,,,,555000.0
108.0,45,3.0,2,,,,,,,,240000.0
70.0,45,2.0,1,,,,,,,,130000.0
145.0,17,2.0,2,,,,,,,,450000.0
50.0,38,1.0,1,,,,,,,,170000.0
95.0,12,2.0,1,,,,,,,,395000.0
89.0,28,3.0,2,,,,,,,,310000.0
161.0,12,3.0,3,,,,,,,,495000.0
90.0,61,2.0,1,,,,,,,,165000.0
170.0,13,3.0,3,,,,,,,,680000.0
145.0,62,3.0,2,,,,,,,,200000.0
124.0,16,3.0,2,,,,,,,,250000.0
57.0,60,1.0,1,,,,,,,,170000.0
175.0,41,4.0,3,,,,,,,,470000.0
80.0,38,2.0,1,,,,,,,,140000.0
39.0,28,1.0,1,,,,,,,,170000.0
120.0,59,3.0,2,,,,,,,,200000.0
121.0,12,2.0,2,,,,,,,,300000.0
75.0,77,2.0,1,,,,,,,,84000.0
30.0,74,1.0,1,,,,,,,,50000.0
130.0,36,3.0,2,,,,,,,,390000.0
148.0,17,3.0,2,,,,,,,,360000.0
150.0,16,3.0,3,,,,,,,,350000.0
157.0,16,3.0,3,,,,,,,,530000.0
105.0,12,2.0,2,,,,,,,,160000.0
180.0,28,4.0,3,,,,,,,,390000.0
73.0,12,1.0,1,,,,,,,,190000.0
140.0,36,2.0,2,,,,,,,,240000.0
135.0,14,3.0,2,,,,,,,,330000.0
80.0,58,2.0,1,,,,,,,,135000.0
86.0,28,2.0,1,,,,,,,,187000.0
80.0,74,2.0,1,,,,,,,,87000.0
124.0,17,3.0,2,,,,,,,,275000.0
110.0,45,2.0,2,,,,,,,,130000.0
115.0,12,3.0,2,,,,,,,,220000.0
110.0,69,3.0,2,,,,,,,,280000.0
100.0,14,2.0,1,,,,,,,,175000.0
135.0,45,3.0,2,,,,,,,,270000.0
123.0,12,3.0,2,,,,,,,,360000.0
92.0,12,2.0,1,,,,,,,,155000.0
42.0,12,1.0,1,,,,,,,,155000.0
132.0,17,3.0,2,,,,,,,,315000.0
173.0,17,3.0,3,,,,,,,,700000.0
134.0,14,3.0,2,,,,,,,,270000.0
90.0,28,2.0,1,,,,,,,,195000.0
58.0,28,1.0,1,,,,,,,,185000.0
165.0,16,3.0,3,,,,,,,,298000.0
60.0,14,1.0,1,,,,,,,,165000.0
120.0,17,2.0,2,,,,,,,,240000.0
130.0,43,3.0,2,,,,,,,,195000.0
75.0,77,2.0,1,,,,,,,,200000.0
102.0,17,3.0,2,,,,,,,,299000.0
80.0,46,2.0,1,,,,,,,,200000.0
179.0,12,4.0,3,,,,,,,,398000.0
45.0,25,1.0,1,,,,,,,,130000.0
120.0,59,3.0,2,,,,,,,,165000.0
95.0,16,2.0,1,,,,,,,,210000.0
177.0,28,4.0,3,,,,,,,,430000.0
57.0,28,1.0,1,,,,,,,,130000.0
109.0,12,2.0,2,,,,,,,,240000.0
127.0,17,3.0,2,,,,,,,,310000.0
90.0,12,2.0,1,,,,,,,,450000.0
120.0,46,3.0,2,,,,,,,,150000.0
75.0,76,2.0,1,,,,,,,,120000.0
140.0,25,3.0,2,,,,,,,,220000.0
120.0,60,3.0,2,,,,,,,,210000.0
165.0,28,3.0,3,,,,,,,,420000.0
148.0,74,3.0,2,,,,,,,,341000.0
80.0,60,2.0,1,,,,,,,,130000.0
180.0,17,4.0,3,,,,,,,,495000.0
88.0,28,2.0,1,,,,,,,,190000.0
78.0,74,2.0,1,,,,,,,,160000.0
153.0,35,3.0,3,,,,,,,,260000.0
45.0,60,1.0,1,,,,,,,,130000.0
80.0,16,2.0,1,,,,,,,,130000.0
120.0,14,3.0,2,,,,,,,,240000.0
58.0,82,1.0,1,,,,,,,,170000.0
110.0,13,3.0,2,,,,,,,,370000.0
179.0,12,4.0,3,,,,,,,,650000.0
130.0,60,3.0,2,,,,,,,,375000.0
105.0,82,3.0,2,,,,,,,,180000.0
145.0,17,2.0,2,,,,,,,,450000.0
65.0,12,1.0,1,,,,,,,,270000.0
120.0,60,3.0,2,,,,,,,,200000.0
140.0,12,3.0,2,,,,,,,,350000.0
125.0,16,3.0,2,,,,,,,,255000.0
70.0,76,2.0,1,,,,,,,,115000.0
44.0,16,1.0,1,,,,,,,,222000.0
78.0,13,2.0,1,,,,,,,,210000.0
84.0,12,2.0,1,,,,,,,,220000.0
75.0,82,2.0,1,,,,,,,,95000.0
110.0,77,3.0,2,,,,,,,,210000.0
134.0,17,3.0,2,,,,,,,,280000.0
120.0,60,3.0,2,,,,,,,,220000.0
65.0,12,1.0,1,,,,,,,,220000.0
104.0,16,3.0,2,,,,,,,,400000.0
67.0,28,1.0,1,,,,,,,,120000.0
125.0,28,2.0,2,,,,,,,,330000.0
80.0,16,2.0,1,,,,,,,,135000.0
100.0,28,3.0,2,,,,,,,,260000.0
47.0,17,1.0,1,,,,,,,,167000.0
162.0,16,3.0,3,,,,,,,,595000.0
47.0,61,1.0,1,,,,,,,,112000.0
64.0,28,1.0,1,,,,,,,,185000.0
41.0,26,1.0,1,,,,,,,,118000.0
110.0,45,3.0,2,,,,,,,,225000.0
166.0,56,3.0,3,,,,,,,,270000.0
50.0,13,1.0,1,,,,,,,,190000.0
146.0,14,3.0,2,,,,,,,,320000.0
57.0,28,1.0,1,,,,,,,,216000.0
120.0,16,2.0,2,,,,,,,,365000.0
78.0,60,2.0,1,,,,,,,,290000.0
95.0,28,3.0,2,,,,,,,,235000.0
154.0,12,3.0,3,,,,,,,,361000.0
120.0,17,2.0,2,,,,,,,,450000.0
146.0,17,3.0,2,,,,,,,,447000.0
90.0,12,2.0,1,,,,,,,,180000.0
100.0,76,2.0,1,,,,,,,,190000.0
145.0,17,3.0,2,,,,,,,,450000.0
70.0,25,2.0,1,,,,,,,,68000.0
60.0,14,1.0,1,,,,,,,,165000.0
100.0,16,3.0,2,,,,,,,,170000.0
45.0,41,1.0,1,,,,,,,,240000.0
123.0,16,3.0,2,,,,,,,,406000.0
60.0,14,1.0,1,,,,,,,,165000.0
90.0,16,2.0,1,,,,,,,,1400000.0
90.0,28,2.0,1,,,,,,,,250000.0
145.0,17,3.0,2,,,,,,,,374000.0
180.0,28,4.0,3,,,,,,,,395000.0
90.0,77,2.0,1,,,,,,,,150000.0
168.0,16,3.0,3,,,,,,,,481000.0
112.0,28,3.0,2,,,,,,,,270000.0
107.0,14,3.0,2,,,,,,,,285000.0
120.0,17,3.0,2,,,,,,,,270000.0
100.0,14,3.0,2,,,,,,,,220000.0
168.0,60,3.0,3,,,,,,,,240000.0
95.0,76,2.0,1,,,,,,,,115000.0
135.0,12,3.0,2,,,,,,,,360000.0
80.0,28,2.0,1,,,,,,,,75000.0
158.0,28,3.0,3,,,,,,,,355000.0
100.0,12,2.0,1,,,,,,,,250000.0
117.0,12,3.0,2,,,,,,,,380000.0
176.0,16,3.0,3,,,,,,,,575000.0
150.0,16,3.0,3,,,,,,,,437000.0
24.0,28,1.0,1,,,,,,,,260000.0
87.0,28,2.0,1,,,,,,,,150000.0
144.0,13,3.0,2,,,,,,,,550000.0
127.0,36,3.0,2,,,,,,,,150000.0
78.0,13,2.0,1,,,,,,,,210000.0
95.0,74,2.0,1,,,,,,,,120000.0
80.0,28,2.0,1,,,,,,,,112000.0
123.0,16,3.0,2,,,,,,,,450000.0
80.0,60,2.0,1,,,,,,,,148000.0
64.0,60,1.0,1,,,,,,,,180000.0
122.0,12,2.0,2,,,,,,,,510000.0
120.0,28,2.0,2,,,,,,,,347000.0
90.0,76,3.0,2,,,,,,,,155000.0
200.0,60,4.0,3,,,,,,,,770000.0
154.0,26,3.0,3,,,,,,,,320000.0
160.0,28,3.0,3,,,,,,,,370000.0
146.0,28,3.0,2,,,,,,,,370000.0
