surface,city,rooms,bathrooms,parking,pool,vue_panoramique,jardin,climatisation,chauffage_central,ascenseur,price
131.0,42,3.0,2.0,1,0,0,0,1,1,1,290000.0
70.0,17,2.0,1.0,0,0,0,0,1,1,1,245000.0
134.0,42,3.0,2.0,0,0,0,0,1,1,1,340000.0
124.0,42,3.0,2.0,1,0,0,0,0,1,1,320000.0
120.0,43,3.0,2.0,1,0,0,0,0,0,0,185000.0
108.0,42,2.0,1.0,1,0,0,0,1,1,1,280000.0
62.0,60,2.0,1.0,0,0,0,0,0,0,0,160000.0
132.0,3,2.0,2.0,1,1,0,1,1,1,1,460000.0
69.0,17,3.0,1.0,0,0,0,0,1,1,1,253000.0
85.0,17,1.0,1.0,1,0,0,0,1,1,0,395000.0
70.0,5,2.0,1.0,0,0,0,0,1,1,0,320000.0
106.0,42,2.0,1.0,1,0,0,0,1,1,0,175000.0
43.0,17,1.0,1.0,0,1,0,1,0,0,0,250000.0
136.0,42,4.0,2.0,1,0,0,0,1,1,1,390000.0
194.0,42,4.0,2.0,1,0,0,1,1,1,0,550000.0
106.0,42,2.0,1.0,0,0,0,0,0,0,1,285000.0
136.0,17,4.0,2.0,1,0,0,0,1,1,0,408000.0
95.0,83,4.0,1.0,1,0,0,0,0,0,0,140000.0
220.0,17,5.0,2.0,1,0,0,0,1,1,0,700000.0
116.0,31,3.0,1.0,1,0,0,0,1,1,1,320000.0
131.0,42,3.0,2.0,0,0,0,0,1,1,1,289000.0
160.0,16,3.0,1.0,1,0,0,1,0,1,0,549000.0
120.0,51,3.0,2.0,0,0,0,1,0,1,1,250000.0
100.0,12,2.0,1.0,0,0,0,0,0,0,0,120000.0
61.0,17,1.0,1.0,0,0,0,0,1,1,1,180000.0
100.0,12,2.0,1.0,0,0,0,0,0,0,0,100000.0
58.0,42,2.0,1.0,0,0,0,0,1,1,1,175000.0
114.0,32,3.0,2.0,1,0,0,0,0,1,1,275000.0
90.0,27,4.0,1.0,1,0,0,0,0,1,1,232000.0
78.0,31,2.0,1.0,1,0,0,0,1,1,1,250000.0
67.0,16,1.0,1.0,1,0,0,0,1,1,1,230000.0
220.0,3,3.0,2.0,1,0,0,0,1,1,1,638000.0
