State,City,Street,Zipcode,Latitude,Longitude,Bedroom,Bathroom,Area,PPSq,LotArea,ConvertedLot,LotUnit,MarketEstimate,RentEstimate,Price
AL,Saraland,Scott Dr,36571,30.819534,-88.09596,4.0,2.0,1614.0,148.636926889715,0.38050000000000006,0.38050000000000006,acres,240600,1599,239900.0
AL,Southside,Big Oak Dr W,35907,33.88105,-86.012436,3.0,2.0,1474.0,0.0006784260515603799,0.6703397612488522,0.6703397612488522,acres,186700,1381,1.0
AL,Robertsdale,Cowpen Creek Rd,36567,30.590004,-87.580376,3.0,2.0,1800.0,144.38888888888889,3.2,3.2,acres,nan,nan,259900.0
AL,Gulf Shores,Spinnaker Dr #201,36542,30.284956,-87.74792,2.0,2.0,1250.0,274.0,nan,nan,nan,nan,nan,342500.0
AL,Chelsea,Mallet Way,35043,33.357986,-86.6087,3.0,3.0,2224.0,150.6294964028777,0.26,0.26,acres,336200,1932,335000.0
AL,Huntsville,Turtlebrook Ct,35811,34.775517,-86.4407,3.0,2.0,1225.0,204.08163265306123,nan,nan,nan,222700,1679,250000.0
AL,Montgomery,Brampton Ln,36117,32.372746,-86.165115,3.0,2.0,1564.0,96.54731457800511,8712.0,0.2,sqft,150500,1385,151000.0
AL,Boaz,Greenwood Ave,35957,34.210014,-86.13669,3.0,2.0,1717.0,139.1962725684333,0.38,0.38,acres,238400,2125,239000.0
AL,Albertville,Lexington Ave,35950,34.2754,-86.21792,3.0,2.0,1674.0,149.2831541218638,0.3443526170798898,0.3443526170798898,acres,248000,1597,249900.0
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
AL,Mobile,Emerald Dr W,36619,30.595074,-88.20307,3.0,3.0,2190.0,134.70319634703196,0.3443,0.3443,acres,294000,1900,295000.0
AL,Madison,Highpointb Plan Grayson Lndg,35756,34.755985,-86.86592,4.0,3.0,3030.0,173.23432343234325,0.33999999999999997,0.33999999999999997,acres,nan,nan,524900.0
AL,Huntsville,Chancel Dr SE #5046,35802,34.691204,-86.565834,2.0,3.0,2099.0,94.80705097665555,nan,nan,nan,nan,nan,199000.0
AL,Mobile,Stanton Rd,36607,30.693125,-88.087814,3.0,2.0,1194.0,125.62814070351759,8585.676,0.1971,sqft,148300,1200,150000.0
AL,Fort Mitchell,Old Glory Way,36856,32.27287,-84.980064,4.0,2.0,2094.0,136.1031518624642,0.34,0.34,acres,nan,nan,285000.0
AL,Myrtlewood,Cedar Ave,36763,32.513927,-87.83505,3.0,1.0,800.0,181.25,0.53,0.53,acres,nan,nan,145000.0
AL,Brewton,Kerlin Ave,36426,31.12658,-87.05359,3.0,3.0,2451.0,20.57894736842105,0.25830000000000003,0.25830000000000003,acres,nan,nan,50439.0
AL,Montgomery,Crestview Ave,36109,32.39595,-86.269714,3.0,2.0,2196.0,76.95810564663023,0.61,0.61,acres,124700,1250,169000.0
AL,Semmes,Park Ave,36575,30.774414,-88.257675,3.0,1.0,1100.0,145.45454545454547,1.0,1.0,acres,158200,1099,160000.0
AL,Irvington,Moores Ln,36544,30.455751,-88.242485,5.0,3.0,2285.0,61.225382932166305,1.1772,1.1772,acres,nan,2100,139900.0
AL,Mulga,Morningside Dr,35118,33.524075,-87.00953,3.0,2.0,1410.0,56.666666666666664,0.34,0.34,acres,78300,1369,79900.0
AL,Red Level,County Road 21 N,36474,31.39427,-86.60098,3.0,2.0,1783.0,98.1491867638811,1.0,1.0,acres,nan,nan,175000.0
AL,Grand Bay,Border Dr E,36541,30.481138,-88.352,3.0,2.0,2252.0,65.71936056838366,0.4501,0.4501,acres,nan,1640,148000.0
AL,Mobile,Driver St,36617,30.702614,-88.08904,6.0,4.0,3036.0,54.01844532279315,6141.96,0.14100000000000001,sqft,154100,2500,164000.0
AL,Birmingham,Wenonah Rd SW,35211,33.448425,-86.87966,3.0,3.0,2760.0,72.10144927536231,0.35,0.35,acres,nan,nan,199000.0
AL,Henagar,State Highway 75,35978,34.649124,-85.71751,4.0,2.0,1420.0,136.9718309859155,0.8,0.8,acres,nan,917,194500.0
AL,Birmingham,Avenue I,35218,33.506554,-86.89646,3.0,2.0,1044.0,66.0919540229885,7840.799999999999,0.18,sqft,nan,986,69000.0
AL,Mobile,Spring Grv S,36695,30.6471,-88.2378,3.0,2.0,1823.0,131.65112452002194,8712.0,0.2,sqft,nan,nan,240000.0
AL,Montgomery,Narrow Lane Rd,36116,32.273514,-86.25934,3.0,3.0,3693.0,54.15651232060655,6.9,6.9,acres,188300,1201,200000.0
AL,Russellville,Gaines Ave N,35654,34.50726,-87.7332,6.0,4.0,4690.0,45.84221748400853,1.0,1.0,acres,nan,nan,215000.0
AL,Scottsboro,Cecil St,35768,34.65146,-86.03795,4.0,2.0,1558.0,96.21309370988446,0.49000000000000005,0.49000000000000005,acres,nan,nan,149900.0
AL,Foley,"Homes Available Soon, Riverside at Arbor Walk",36535,30.363,-87.71325,nan,0.0,nan,nan,nan,nan,nan,nan,nan,0.0
AL,Huntsville,Club View Dr NW,35810,34.750492,-86.62149,3.0,2.0,1532.0,142.95039164490862,0.2641873278236915,0.2641873278236915,acres,218300,1535,219000.0
AL,Fairhope,Fairfax Dr,36532,30.504227,-87.874535,4.0,3.0,2410.0,170.04149377593362,0.27,0.27,acres,407800,2550,409800.0
AL,Phenix City,13th St,36867,32.472347,-85.009224,3.0,2.0,1188.0,126.26262626262626,7405.200000000001,0.17,sqft,148400,1200,150000.0
AL,Meridianville,Kingsford St,35759,34.87313,-86.58187,3.0,2.0,1679.0,169.74389517569983,6534.0,0.15,sqft,284000,1749,285000.0
AL,Decatur,Rosemont St SE,35601,34.57727,-86.95213,3.0,1.0,1308.0,164.29663608562691,0.27,0.27,acres,nan,nan,214900.0
AL,Remlap,Cedar Ln,35133,33.78361,-86.630005,2.0,2.0,1600.0,112.5,4.87,4.87,acres,178600,1495,180000.0
AL,Mobile,Green Forest Ct,36618,30.717815,-88.147285,3.0,2.0,1296.0,135.03086419753086,4425.696,0.1016,sqft,170100,1566,175000.0
AL,Fort Mitchell,Ottawa Trl,36856,32.27377,-84.99826,5.0,4.0,3051.0,102.26155358898721,0.35,0.35,acres,307100,2100,312000.0
AL,Mobile,Montfort Rd S,36608,30.70528,-88.17934,4.0,5.0,1598.0,93.86733416770964,0.42600000000000005,0.42600000000000005,acres,143300,1500,150000.0
AL,Huntsville,Villaret Dr SW,35803,34.621323,-86.57433,3.0,2.0,1471.0,186.94765465669613,0.27999999999999997,0.27999999999999997,acres,nan,nan,275000.0
AL,Birmingham,42nd St S,35222,33.51739,-86.76976,3.0,2.0,1175.0,285.1063829787234,0.25,0.25,acres,nan,nan,335000.0
AL,Haleyville,25th St,35565,34.23136,-87.618965,3.0,2.0,1450.0,124.06896551724138,0.3856749311294766,0.3856749311294766,acres,173600,1050,179900.0
AL,Opelika,Riverstone Dr,36804,32.603745,-85.333275,4.0,3.0,1825.0,156.1095890410959,0.25,0.25,acres,nan,nan,284900.0
AL,Dothan,Woodland Dr,36301,31.201424,-85.413605,3.0,1.0,1458.0,98.079561042524,0.35376492194674014,0.35376492194674014,acres,141000,1385,143000.0
AL,Tuscaloosa,22nd Ave E,35405,33.15471,-87.50979,3.0,2.0,1444.0,110.73407202216066,nan,nan,nan,192300,1500,159900.0
AL,Dothan,Frankfort Dr,36305,31.2081,-85.44741,3.0,2.0,1375.0,145.38181818181818,0.25,0.25,acres,205400,1529,199900.0
AL,Jasper,Smith Lake Dam Rd,35504,33.981796,-87.188896,3.0,2.0,2666.0,37.396849212303074,4.8,4.8,acres,nan,1800,99700.0
AL,Montgomery,Meriwether Rd,36117,32.35633,-86.179306,3.0,4.0,2361.0,63.53240152477764,0.6799999999999999,0.6799999999999999,acres,nan,nan,150000.0
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
AL,Opelika,Cutler Ridge Ct,36801,32.657303,-85.42706,4.0,3.0,2307.0,198.00130039011702,1.86,1.86,acres,nan,nan,456789.0
AL,Birmingham,Deer Park Dr,35210,33.527466,-86.71101,3.0,2.0,1227.0,240.4237978810106,87.12,0.002,sqft,nan,nan,295000.0
AL,Huntsville,W Tuliptree Dr SE,35803,34.63312,-86.536224,4.0,2.0,1999.0,152.57628814407204,0.29,0.29,acres,304800,1800,305000.0
AL,Foley,E Myrtle Ave,36535,30.404478,-87.67821,3.0,2.0,1752.0,165.46803652968038,26.0,26.0,acres,285800,1994,289900.0
AL,Alabaster,Blue Spring Pl,35007,33.22804,-86.83084,3.0,3.0,1880.0,148.88297872340425,0.27,0.27,acres,283600,1681,279900.0
AL,Grand Bay,Wheatcroft Road Ext #S,36541,30.499058,-88.33377,3.0,2.0,1900.0,189.42105263157896,20.0,20.0,acres,nan,nan,359900.0
AL,Chelsea,Highway 440,35043,33.354427,-86.59509,3.0,2.0,1425.0,195.78947368421052,1.82,1.82,acres,280200,1425,279000.0
AL,Madison,Tynedale Dr,35756,34.69121,-86.78906,4.0,3.0,2354.0,155.0552251486831,9147.6,0.21000000000000002,sqft,364700,2037,365000.0
AL,Mobile,Muscadine Ave,36618,30.721144,-88.2097,4.0,2.0,2077.0,64.99759268175252,2077.812,0.0477,sqft,nan,nan,135000.0
AL,Mobile,Laurel St,36604,30.681978,-88.07807,3.0,1.0,1490.0,157.71812080536913,6865.056,0.1576,sqft,235000,1400,235000.0
AL,Selma,Furniss Ave,36701,32.40969,-87.03237,3.0,1.0,2263.0,24.259832081307998,6708.24,0.154,sqft,nan,nan,54900.0
AL,Fultondale,Sayers Rd,35068,33.622974,-86.81058,3.0,3.0,2535.0,84.81262327416174,0.37,0.37,acres,nan,nan,215000.0
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
AL,Odenville,Brookhaven Dr,35120,33.642292,-86.48792,3.0,2.0,1273.0,174.31264728986645,8712.0,0.2,sqft,nan,nan,221900.0
AL,Mobile,Clarke St,36606,30.66862,-88.09325,3.0,1.0,1000.0,79.0,3341.052,0.0767,sqft,nan,995,79000.0
AL,Huntsville,Hickory Hill Ln SE,35802,34.660194,-86.5568,4.0,3.0,2875.0,139.09565217391304,0.45999999999999996,0.45999999999999996,acres,382400,2262,399900.0
AL,Alabaster,Hickory Hills Dr,35007,33.257935,-86.80834,3.0,2.0,1808.0,132.7433628318584,0.47,0.47,acres,239400,1657,240000.0
AL,Gordo,11th St SE,35466,33.317497,-87.891014,3.0,2.0,1592.0,141.33165829145727,7840.799999999999,0.18,sqft,nan,nan,225000.0
AL,Haleyville,32nd St,35565,34.243496,-87.60556,3.0,2.0,1688.0,88.80331753554502,0.42000000000000004,0.42000000000000004,acres,nan,nan,149900.0
AL,Hazel Green,Will Holt Rd,35750,34.97667,-86.65006,3.0,2.0,1976.0,68.31983805668017,0.5599999999999999,0.5599999999999999,acres,125400,847,135000.0
AL,Madison,Preston Wood Dr,35756,34.700115,-86.793274,4.0,4.0,3263.0,176.21820410665032,0.32999999999999996,0.32999999999999996,acres,nan,nan,575000.0
AL,Huntsville,Adonna Dr NW,35810,34.76469,-86.64163,3.0,2.0,1798.0,125.13904338153503,8330.0,0.19123048668503215,sqft,nan,nan,225000.0
AL,Mobile,Macy Pl,36604,30.685225,-88.0755,3.0,2.0,2455.0,199.18533604887983,7575.084,0.1739,sqft,488700,2578,489000.0
AL,Bay Minette,Tanner Ln,36507,30.810877,-87.80625,3.0,2.0,1859.0,112.9101667563206,3.0,3.0,acres,194500,1875,209900.0
AL,Gadsden,Edison Ave,35904,34.057,-86.01735,3.0,3.0,2542.0,137.6475216365067,1.43,1.43,acres,347100,1800,349900.0
AL,Duncanville,Colonial Dr,35456,33.118427,-87.47632,4.0,3.0,3556.0,50.59055118110236,2.0,2.0,acres,182000,1814,179900.0
AL,Opelika,Flintwood Ln,36804,32.601738,-85.4107,4.0,3.0,2499.0,149.2597038815526,0.42000000000000004,0.42000000000000004,acres,nan,nan,373000.0
AL,New Brockton,Highway 51,36351,31.474384,-85.850395,2.0,1.0,1851.0,32.414910858995135,5.72,5.72,acres,nan,1800,60000.0
AL,Birmingham,3rd St S,35205,33.498814,-86.82817,2.0,2.0,778.0,170.95115681233932,0.0,0.0,sqft,nan,nan,133000.0
AL,Huntsville,Craft Ave NW,35816,34.7451,-86.612724,3.0,2.0,1320.0,135.6060606060606,1.0,1.0,acres,166800,1594,179000.0
AL,Cherokee,Barton Rd,35616,34.736748,-87.89004,5.0,1.0,3459.0,25.990170569528765,3.7,3.7,acres,nan,nan,89900.0
AL,Birmingham,43rd St,35208,33.490116,-86.890594,3.0,2.0,1444.0,123.26869806094183,6969.6,0.16,sqft,nan,nan,178000.0
AL,Mobile,Creekwood Place Dr,36695,30.64961,-88.21921,4.0,3.0,2954.0,84.59715639810426,0.4635,0.4635,acres,nan,nan,249900.0
AL,Mobile,N Gulf Field Dr,36605,30.6478,-88.08221,5.0,4.0,1505.0,86.31229235880399,7997.616,0.1836,sqft,127600,1099,129900.0
AL,Foley,Simmons Dr,36535,30.336601,-87.695,4.0,2.0,2494.0,92.1812349639134,0.9199999999999999,0.9199999999999999,acres,nan,nan,229900.0
AL,Mobile,Middle Ring Rd,36608,30.71276,-88.191345,4.0,2.0,1034.0,117.98839458413927,7949.7,0.1825,sqft,120700,1300,122000.0
AL,Dothan,Meadowbrook Dr,36303,31.240427,-85.43404,3.0,2.0,1664.0,105.16826923076923,0.0,0.0,sqft,165000,1435,175000.0
AL,Northport,Dunston Cir,35475,33.303703,-87.594124,4.0,2.0,2349.0,140.44274159216687,nan,nan,nan,328500,1999,329900.0
AL,York,Lincoln St,36925,32.484257,-88.31267,4.0,2.0,2295.0,60.95860566448802,0.86,0.86,acres,nan,nan,139900.0
AL,Grand Bay,Wheatcroft Rd S,36541,30.441343,-88.31281,3.0,2.0,1874.0,192.04909284951975,20.0,20.0,acres,nan,nan,359900.0
AL,Dothan,Foxrun Trl,36303,31.257858,-85.4552,5.0,3.0,2472.0,108.81877022653721,0.45798898071625344,0.45798898071625344,acres,263800,1999,269000.0
AL,Perdido Beach,Cypress St,36530,30.347391,-87.501076,3.0,2.0,1860.0,101.61290322580645,0.45499999999999996,0.45499999999999996,acres,nan,nan,189000.0
AL,Helena,Southwind Dr,35080,33.27857,-86.830025,3.0,2.0,2190.0,125.47945205479452,0.4,0.4,acres,279600,1648,274800.0
AL,Altoona,Sloan Dr,35952,34.039066,-86.319916,4.0,1.0,2029.0,0.0004928536224741252,47.0,47.0,acres,396000,1033,1.0
AL,Columbiana,"Homes Available Soon, Saddlewood Trails",35051,33.1819,-86.63972,nan,0.0,nan,nan,nan,nan,nan,nan,nan,0.0
AL,Opelika,Matsu Ln,36804,32.615627,-85.38071,4.0,3.0,2508.0,141.54704944178627,8712.0,0.2,sqft,nan,nan,355000.0
AL,Gulf Shores,Muscogee Rd,36542,30.232487,-87.977135,3.0,3.0,1265.0,333.59683794466406,6250.86,0.1435,sqft,404700,2400,422000.0
AL,Mobile,Hamilton Creek Dr N,36695,30.635536,-88.270996,3.0,3.0,1888.0,132.36228813559322,0.40069999999999995,0.40069999999999995,acres,250400,1800,249900.0
AL,Chelsea,Scarlett Ln,35043,33.360428,-86.623604,3.0,2.0,1914.0,172.15256008359458,9147.6,0.21000000000000002,sqft,nan,nan,329500.0
AL,Eight Mile,Rosemary Rd,36613,30.814259,-88.24769,2.0,2.0,16.0,5000.0,0.5997,0.5997,acres,nan,2234,80000.0
AL,Mobile,General Lee Ave,36619,30.582676,-88.18447,4.0,2.0,1807.0,138.29551743220807,0.3432,0.3432,acres,197700,1650,249900.0
AL,Bay Minette,McGee Cir,36507,30.86652,-87.78434,3.0,2.0,1439.0,111.11883252258512,0.32999999999999996,0.32999999999999996,acres,nan,nan,159900.0
AL,Madison,Mill Walk Ct,35758,34.700047,-86.76704,5.0,5.0,3923.0,172.03670660209025,0.4,0.4,acres,674500,4140,674900.0
AL,Foley,E Myrtle Ave,36535,30.404423,-87.67775,3.0,2.0,1361.0,176.3409257898604,10149.48,0.23299999999999998,sqft,237500,1800,240000.0
AL,Prattville,Cooper Ave,36066,32.461464,-86.43951,3.0,2.0,1450.0,117.24137931034483,0.42000000000000004,0.42000000000000004,acres,nan,nan,170000.0
AL,Montgomery,Federal Dr,36107,32.38716,-86.27291,4.0,3.0,2238.0,71.44772117962466,7500.0,0.1721763085399449,sqft,nan,nan,159900.0
AL,Montgomery,Southlawn Dr,36108,32.3066,-86.33512,3.0,2.0,1176.0,72.27891156462584,7405.2,0.16999999999999998,sqft,nan,nan,85000.0
AL,Athens,Arbor Dr,35613,34.797318,-86.92516,2.0,2.0,1927.0,139.0762843798651,nan,nan,nan,291400,1892,268000.0
AL,Mobile,Dixie Ln,36693,30.637695,-88.179756,3.0,2.0,1319.0,125.01895375284306,10053.648,0.23079999999999998,sqft,165200,1200,164900.0
AL,Gadsden,Ridgecrest Rd,35901,33.9528,-86.032166,3.0,3.0,2912.0,0.00034340659340659343,1.0162,1.0162,acres,368100,1995,1.0
AL,Pinson,Shelterwood Cir,35126,33.768818,-86.62087,4.0,3.0,2430.0,98.76543209876543,871.2,0.02,sqft,239500,1746,240000.0
AL,Monroeville,Hollyhock Rd,36460,31.507168,-87.31117,3.0,2.0,1840.0,89.67391304347827,nan,nan,nan,nan,nan,165000.0
AL,Boaz,Elm St #C,35957,34.201015,-86.16064,2.0,2.0,1300.0,192.23076923076923,nan,nan,nan,nan,nan,249900.0
AL,Enterprise,Highway 134,36330,31.317612,-85.91449,3.0,1.0,1025.0,102.34146341463415,1.4,1.4,acres,96200,999,104900.0
AL,Huntsville,River Mill Rd,35811,34.79965,-86.48301,4.0,4.0,3510.0,170.94017094017093,0.48,0.48,acres,599500,3427,600000.0
AL,Birmingham,Rome Ave,35206,33.553673,-86.715324,3.0,1.0,1438.0,121.69680111265647,6969.6,0.16,sqft,nan,nan,175000.0
AL,Piedmont,State Highway 9 S,36272,34.037712,-85.610985,2.0,3.0,2160.0,199.07407407407408,11.24,11.24,acres,nan,nan,430000.0
AL,Evergreen,Bruner Ave,36401,31.430414,-86.95541,5.0,2.0,3078.0,30.214424951267056,0.71,0.71,acres,nan,1376,93000.0
AL,Huntsville,Mountainbrook Dr SE,35801,34.721184,-86.550224,5.0,4.0,3320.0,93.37349397590361,0.45,0.45,acres,296800,3198,310000.0
AL,Birmingham,Regency Way,35242,33.397533,-86.63604,4.0,4.0,3240.0,243.7962962962963,0.4,0.4,acres,nan,nan,789900.0
AL,Calera,E Milgray,35040,33.141056,-86.77153,3.0,3.0,2274.0,142.4802110817942,0.49,0.49,acres,nan,nan,324000.0
AL,Foley,Pencarro Blvd,36535,30.365225,-87.71655,3.0,2.0,1730.0,172.83236994219652,9670.32,0.222,sqft,nan,nan,299000.0
AL,Auburn,Azalea Dr,36830,32.579987,-85.47276,3.0,2.0,1700.0,217.58823529411765,0.3,0.3,acres,nan,nan,369900.0
AL,Athens,Upland Trl,35613,34.822567,-86.83447,3.0,2.0,1489.0,183.27736736064472,nan,nan,nan,nan,nan,272900.0
AL,Foley,Live Oak Ave,36555,30.405363,-87.77882,3.0,2.0,1088.0,229.77941176470588,0.32999999999999996,0.32999999999999996,acres,247200,2199,250000.0
AL,Loxley,Landmark Ave,36551,30.63612,-87.78366,3.0,2.0,1428.0,165.19607843137254,7535.88,0.17300000000000001,sqft,234700,1700,235900.0
AL,Alabaster,Forest Hills Cir,35007,33.203835,-86.80198,5.0,3.0,2660.0,165.0375939849624,0.61,0.61,acres,391400,2213,439000.0
AL,Gadsden,Anita Ln,35901,33.93738,-85.96582,4.0,2.0,2163.0,189.50531668978272,1.09,1.09,acres,nan,nan,409900.0
AL,Gulf Shores,Briarwood Dr,36542,30.260681,-87.70223,4.0,4.0,2839.0,228.95385699189856,nan,nan,nan,nan,nan,650000.0
AL,Daphne,Fionn Loop,36526,30.579481,-87.84395,4.0,2.0,1731.0,173.30964760254187,7013.16,0.161,sqft,nan,nan,299999.0
AL,Mobile,Dawes Service Rd,36695,30.675133,-88.23147,4.0,3.0,1792.0,89.28571428571429,0.7467,0.7467,acres,159200,1599,160000.0
AL,Mobile,Middle Ring Rd,36608,30.712626,-88.19037,3.0,2.0,1222.0,90.0163666121113,9970.884,0.2289,sqft,110300,1350,110000.0
